"","vin","stock_number","is_new","year","make","model","body_style","trim","odometer","color","color","price","image_url","url","interior_color","fuel_type"
20,"4T1C11BK9RU112781","A49732PT",False,2024,"Toyota","Camry","","Sedan 4D LE ",7750,"Black","",31700.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/710525d878fbdf50b4c2b2480a263453b8c95324.jpg","https://dealer.vip/riUn10dcvsSl","",""
21,"WVWKP7AU0GW914061","A49740AA",False,2016,"Volkswagen","e-Golf","","Hatchback 4D",62992,"Black","",12989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/d9b7d3823e157b1beb8d68b13bc4185c5f086036.jpg","https://dealer.vip/sP_avOQp7R82","",""
22,"JTMJFREV4GJ066616","A49747WT",False,2016,"Toyota","RAV4","","Utility 4D S",87556,"Black","",20790.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/4984722a4b41d382bcd719e47a69e2a3c66c412e.jpg","https://dealer.vip/SVMoNePUOlDw","",""
23,"1G1RC6S57HU103357","A49746HA",False,2017,"Chevrolet","Volt","","Sedan 4D LT ",87304,"Black","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/f637f93d8b7e12f7f161eafac721d43f2af4ffa2.jpg","https://dealer.vip/LRdgjiz2CYSL","",""
24,"JTMBFREV0JJ250480","A49744HA",False,2018,"Toyota","RAV4","","Utility 4D L",65415,"Black","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/8a51165ce35c0bad0b98b81fd5d6ef92a2438f7b.jpg","https://dealer.vip/bu9hobhNdIg2","",""
25,"3GNAXJEV2JL106178","A49737NP",False,2018,"Chevrolet","Equinox","","LT 1.5L I4 T",54158,"Beige","",20989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/50c7b8b1277264515b14275433bba7a98848054d.jpg","https://dealer.vip/tDT7FqXnAcGz","",""
26,"1C4PJMDXXKD257673","A49743HA",False,2019,"Jeep","Cherokee","","Utility 4D L",63944,"Beige","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/3d67fde151640ee00d1bc5e63270d101dcad767e.jpg","https://dealer.vip/8A_C1b5jQYh7","",""
27,"YV4162UKXL2322886","A49738NA",False,2020,"Volvo","XC40","","Momentum AWD",59715,"Beige","",27885.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/1ae58077516a4a9bc9570bec1c9cf4f82dd02b82.jpg","https://dealer.vip/reuNnEOUR472","",""
28,"YV4162UL1L2310215","A49741GT",False,2020,"Volvo","XC40","","Utility 4D T",33743,"Beige","",31989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/ab91eea8863319153851bd2ad6e76418e32faae1.jpg","https://dealer.vip/UpCWo-q2ukkc","",""
29,"3N1AB8DV0MY208137","A49745HA",False,2021,"Nissan","Sentra","","Sedan 4D SR ",45005,"Beige","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/d7c3fca3def1f6c6400e33e855d6815d37408667.jpg","https://dealer.vip/stcKzAM_mXVg","",""
30,"1G1ZD5ST7MF014831","A49734GT",False,2021,"Chevrolet","Malibu","","Sedan 4D LT ",51182,"Beige","",22989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/3d32dda34e19aa86d23f5197a594c0eac90954c7.jpg","https://dealer.vip/FqbBIt2EQz_R","",""
31,"3GNKBBRA3MS565651","A49730HP",False,2021,"Chevrolet","Blazer","","Utility 4D L",36074,"Beige","",29989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/802317aefcb23464ca0c7e428bf1a73e12749840.jpg","https://dealer.vip/ggotaH4lsziX","",""
32,"1GCGTBEN1N1104312","A49729GT",False,2022,"Chevrolet","Colorado","","Crew Cab Wor",21416,"Beige","",34989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/695917c006339dd4b1cb27790ac0747cf7982e9b.jpg","https://dealer.vip/-mocwg0P9cG9","",""
33,"3GCUDHEL3NG590835","A49748GT",False,2022,"Chevrolet","Silverado 1500","","Crew Cab ZR2",10279,"Beige","",64989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/ffcc94672bf87e9f9ac46d64271cd0eeb19da665.jpg","https://dealer.vip/HNFqaQb0nmGL","",""
34,"KNDEUCAA1P7351956","A49739NA",False,2023,"Kia","Seltos","","S AWD 2.0L I",64325,"Beige","",23567.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/2e0479cf9982e3269e9a45a99ec23b8d995ec066.jpg","https://dealer.vip/xFqcmJoBM4vo","",""
35,"3FAHP0HG5AR285494","A49750WT",False,2010,"Ford","Fusion","","Sedan 4D SE ",193558,"Beige","",6989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/d13c6529383cca32676df2d6370ada1cda4fd7a9.jpg","https://dealer.vip/nOOePdUNE5WI","",""
36,"5XYPG4A31JG431288","G49722RT",False,2018,"Kia","Sorento","","Utility 4D L",73285,"Beige","",16142.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/d9b6a227151a1591200db2f1e2fe1eb76a651a56.jpg","https://dealer.vip/DZ4KeWQOBDoZ","",""
37,"1GCRKSE79DZ351493","A49717NP",False,2013,"Chevrolet","Silverado 1500","","Extended Cab",84039,"Beige","",19305.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/0204c919578bf198f5aab519e0aad0c82fbeb1c5.jpg","https://dealer.vip/7hk3XZ5WDiZn","",""
38,"2G1165S33F9220392","A49715NP",False,2015,"Chevrolet","Impala","","LTZ 3.6L V6",76977,"Beige","",19989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/84632a36e470a98463c42c259f4b51914e809d94.jpg","https://dealer.vip/VJyyjkjlwLac","",""
39,"1G1RD6S58HU215503","A49727HA",False,2017,"Chevrolet","Volt","","Sedan 4D Pre",89472,"Beige","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/79a5f0d8066bc7693af9c10176d2e0fe8cddf1f4.jpg","https://dealer.vip/CKUrK2XWAsb4","",""
40,"1G1ZG5ST1NF112312","A49714CT",False,2022,"Chevrolet","Malibu","","Sedan 4D RS ",22801,"Beige","",26702.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/0262f0a7b867130912759374d7332a7fcb7b10d9.jpg","https://dealer.vip/3jyC1ojIJ85F","",""
41,"1C6SRFFT1KN508011","A49728PT",False,2019,"Ram","Ram 1500","","Crew Cab Big",60929,"Beige","",34870.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/ef260678be43533e0ebee42681e5ad8a28c1fb6e.jpg","https://dealer.vip/uLUEmrd_5zUl","",""
42,"2C3CCABG1KH659115","A49716NP",False,2019,"Chrysler","300","","4D 300S 3.6L",51860,"Beige","",24777.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/e70b7995891a403c908c391f67c977d4469b119a.jpg","https://dealer.vip/1TTvLblqMrt7","",""
43,"1C4PJMDN6LD646732","A49719NA",False,2020,"Jeep","Cherokee","","Limited 4WD ",51775,"Beige","",28132.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/57227c36ebb020e7586a1be064f54867b5c53ad3.jpg","https://dealer.vip/4W_k4CHl35oT","",""
44,"2GNAXWEV6N6140583","A49724GT",False,2022,"Chevrolet","Equinox","","Utility 4D R",21729,"Beige","",31989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/67cb3ea801540a0cc469052e92d948f0db304ff6.jpg","https://dealer.vip/IJhFxCVaLVn1","",""
45,"1G1RC6S5XJU113063","A49726HA",False,2018,"Chevrolet","Volt","","Sedan 4D LT ",57403,"Beige","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/8ffd8be01d470df3d71c7bfa426d7f6a5d854e17.jpg","https://dealer.vip/SqUgWo7ckrxP","",""
46,"KMHWF35H05A145156","A49705GT",False,2005,"Hyundai","Sonata","","Sedan 4D GLS",0,"Beige","",1000.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/72edb294bb870af7516bb0ed097615463414e7c6.jpg","https://dealer.vip/gbi9V6hcrhKu","",""
47,"1GC2KXCG0BZ282482","A49711LT",False,2011,"Chevrolet","Silverado 2500 HD","","Extended Cab",143355,"Beige","",16912.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/ab7ce1b874e8b6b881cbe053340f8f339c85ae7a.jpg","https://dealer.vip/04jZ0Gn6mwVm","",""
